Hydrogen,H,1.008
Helium,He,4.003
Lithium,Li,6.941
Beryllium,Be,9.012
Boron,B,10.811
Carbon,C,12.011
Nitrogen,N,14.007
Oxygen,O,15.999
Fluorine,F,18.998
Neon,Ne,20.180
Sodium,Na,22.990
Magnesium,Ma,24.305
Aluminum,Al,26.982
Silicon,Si,28.086
Phosphorus,P,30.974
Sulfur,S,32.066
Chlorine,Cl,35.453
Argon,Ar,39.948
Potassium,K,39.098
Calcuium,Ca,40.078
Scandium,Sc,44.956
Titanium,Ti,47.88
Vanadium,V,50.942
Chromium,Cr,51.996
Manganese,Mn,54.938
Iron,Fe,55.845
Cobalt,Co,58.933
Nickel,Ni,58.693
Copper,Cu,63.546
Zinc,Zn,65.38
Gallium,Ga,69.723
Germanium,Ge,72.631
Arsenic,As,74.922
Selenium,Se,78.971
Bromine,Br,79.904
Krypton,Kr,84.798
Rubidium,Rb,85.468
Strontium,Sr,87.62
Yttrium,Y,88.906
Zirconium,Zr,91.224
Niobium,Nb,92.906
Molybdenum,Mo,95.95
Technetium,Tc,98.907
Ruthenium,Ru,101.07
Rhodium,Rh,102.906
Palladium,Pd,106.42
Silver,Ag,107.868
Cadmium,Cd,112.414
Indium,In,114.818
Tin,Sn,118.711
Antimony,Sb,121.760
Tellurium,Te,127.6
Iodine,I,126.904
Xenon,Xe,131.294
Cesium,Cs,132.905
Barium,Ba,137.328
Lanthanum,La,138.905
Cerium,Ce,140.116
Praseodymium,Pr,140
Neodymium,Nd,144.243
Promethium,Pm,144.913
Samarium,Sm,150.36
Europium,Eu,151.964
Gadolinium,Gd,157.25
Terbium,Tb,158.925
Dysprosium,Dy,162.500
Holmium,Ho,164.930
Erbium,Er,167.259
Thulium,Tm,168.934
Ytterbium,Yb,173.055
Lutetium,Lu,174.967
Hafnium,Hf,178.49
Tantalum,Ta,180.948
Tungsten,W,183.85
Rhenium,Re,186.207
Osmium,Os,190.23
Iridium,Ir,192.22
Platinum,Pt,195.08
Gold,Au,196.967
Mercury,Hg,200.59
Thallium,Tl,204.383
Lead,Pb,207.2
Bismuth,Bi,208.980
Polonium,Po,208.982
Astatine,At,209.987
Radon,Rn,222.018
Francium,Fr,223.020
Radium,Ra,226.025
Actinium,Ac,227.028
Thorium,Th,232.038
Protactinium,Pa,231.036
Uranium,U,238.029
Neptunium,Np,237.048
Plutonium,Pu,244.064
Americium,Am,243.061
Curium,Cm,247.070
Berkelium,Bk,247.070
Californium,Cf,251.080
Einsteinium,Es,252.083
Fermium,Fm,257.095
Mendelevium,Md,258.098
Nobelium,No,259.101
Lawrencium,Lr,266.120
Rutherfordium,Rf,267.122
Dubnium,Db,268.126
Seaborgium,Sg,269.128
Bohrium,Bh,270.133
Hassium,Hs,269.1336
Meitnerium,Mt,277.154
Darmstadtium,Ds,282.166
Roentgenium,Rg,282.169
Coperincium,Cn,286.179
Nihonium,Nh,286.182
Flerovium,Fl,290.192
Moscovium,Mc,290.196
Livermorium,Lv,293.205
Tennessine,Ts,294.211
Oganesson,Og,295.216
